   St Clock  Loc Depth MeasD  SNR     Vel MeanVel
1   0 15:07 0.25  0.00 0.000  0.0  0.0000  0.0000
2   1 15:07 0.40  0.13 0.104 37.2  0.0062 -0.0063
3   1 15:07 0.40  0.13 0.026 38.2 -0.0314  0.0000
4   2 15:10 0.50  0.23 0.184 38.5  0.0868  0.0104
5   2 15:09 0.50  0.23 0.046 37.4 -0.0199  0.0000
6   3 15:12 0.60  0.32 0.256 37.6  0.1523  0.0384
7   3 15:13 0.60  0.32 0.128 35.0  0.0113  0.0000
8   3 15:14 0.60  0.32 0.064 52.8 -0.0011  0.0000
9   4 15:18 0.70  0.36 0.288 38.0  0.2103  0.0629
10  4 15:17 0.70  0.36 0.144 37.0  0.0353  0.0000
11  4 15:16 0.70  0.36 0.072 32.9  0.0485  0.0000
12  5 15:20 0.80  0.42 0.370 38.0  0.3272  0.1435
13  5 15:21 0.80  0.42 0.336 38.2  0.2592  0.0000
14  5 15:21 0.80  0.42 0.168 38.3  0.1528  0.0000
15  5 15:22 0.80  0.42 0.084 38.3  0.1409  0.0000
16  5 15:23 0.80  0.42 0.050 29.2  0.2017  0.0000
17  6 15:25 0.90  0.47 0.420 37.6  0.5351  0.2758
18  6 15:26 0.90  0.47 0.376 38.0  0.5118  0.0000
19  6 15:27 0.90  0.47 0.188 38.0  0.3029  0.0000
20  6 15:28 0.90  0.47 0.094 37.8  0.1687  0.0000
21  6 15:29 0.90  0.47 0.050 37.6  0.1523  0.0000
22  7 15:30 1.00  0.49 0.440 38.5  0.6719  0.4076
23  7 15:31 1.00  0.49 0.392 38.0  0.6516  0.0000
24  7 15:32 1.00  0.49 0.196 38.2  0.4763  0.0000
25  7 15:33 1.00  0.49 0.098 37.6  0.2430  0.0000
26  7 15:33 1.00  0.49 0.050 37.8  0.1415  0.0000
27  8 15:36 1.10  0.53 0.480 38.5  0.6770  0.4657
28  8 15:36 1.10  0.53 0.424 38.7  0.6623  0.0000
29  8 15:37 1.10  0.53 0.212 38.3  0.4466  0.0000
30  8 15:38 1.10  0.53 0.106 38.0  0.2470  0.0000
31  8 15:39 1.10  0.53 0.050 37.8  0.1329  0.0000
32  9 15:43 1.20  0.53 0.480 38.5  0.6468  0.4560
33  9 15:42 1.20  0.53 0.424 38.5  0.6884  0.0000
34  9 15:41 1.20  0.53 0.212 38.0  0.4132  0.0000
35  9 15:40 1.20  0.53 0.106 37.8  0.2188  0.0000
36  9 15:40 1.20  0.53 0.050 37.2  0.1009  0.0000
37 10 15:49 1.30  0.55 0.500 38.0  0.6712  0.4165
38 10 15:48 1.30  0.55 0.440 38.0  0.6349  0.0000
39 10 15:47 1.30  0.55 0.220 37.4  0.3070  0.0000
40 10 15:47 1.30  0.55 0.110 37.6  0.1507  0.0000
41 10 15:46 1.30  0.55 0.050 40.0  0.0426  0.0000
42 11 15:50 1.40  0.54 0.490 38.2  0.6518  0.3834
43 11 15:52 1.40  0.54 0.432 38.2  0.6668  0.0000
44 11 15:53 1.40  0.54 0.216 37.6  0.3164  0.0000
45 11 15:53 1.40  0.54 0.108 37.8  0.1128  0.0000
46 11 15:54 1.40  0.54 0.050 13.7  0.0008  0.0000
47 12 15:58 1.50  0.56 0.510 38.0  0.5712  0.3662
48 12 15:59 1.50  0.56 0.448 38.0  0.5893  0.0000
49 12 15:59 1.50  0.56 0.224 37.4  0.3272  0.0000
50 12 16:00 1.50  0.56 0.112 37.8  0.0964  0.0000
51 12 16:01 1.50  0.56 0.050 37.6 -0.0172  0.0000
52 13 16:05 1.60  0.52 0.470 38.2  0.5291  0.3532
53 13 16:05 1.60  0.52 0.416 38.5  0.4709  0.0000
54 13 16:04 1.60  0.52 0.208 37.8  0.4327  0.0000
55 13 16:03 1.60  0.52 0.104 38.0  0.1317  0.0000
56 13 16:02 1.60  0.52 0.050 38.2  0.0642  0.0000
57 14 16:06 1.70  0.52 0.470 38.5  0.5051  0.3466
58 14 16:07 1.70  0.52 0.416 38.5  0.4851  0.0000
59 14 16:08 1.70  0.52 0.208 38.0  0.3641  0.0000
60 14 16:08 1.70  0.52 0.104 38.0  0.1415  0.0000
61 14 16:09 1.70  0.52 0.050 38.0  0.0294  0.0000
62 15 16:16 1.80  0.61 0.560 38.7  0.2300  0.2461
63 15 16:15 1.80  0.61 0.488 37.8  0.2763  0.0000
64 15 16:14 1.80  0.61 0.244 37.8  0.2059  0.0000
65 15 16:13 1.80  0.61 0.122 38.0 -0.0245  0.0000
66 15 16:12 1.80  0.61 0.050 38.0 -0.0705  0.0000
67 16 16:17 1.90  0.56 0.510 38.0  0.0971  0.0898
68 16 16:17 1.90  0.56 0.448 37.6  0.0698  0.0000
69 16 16:20 1.90  0.56 0.224 38.0 -0.0277  0.0000
70 16 16:20 1.90  0.56 0.112 38.1  0.0078  0.0000
71 16 16:21 1.90  0.56 0.050 48.3  0.0005  0.0000
72 17 16:22 2.00  0.16 0.128 38.3  0.0396  0.0176
73 17 16:23 2.00  0.16 0.064 40.0  0.0028  0.0000
74 17 16:25 2.00  0.16 0.032 66.2  0.0000  0.0000
75 18 16:25 2.20  0.00 0.000  0.0  0.0000  0.0056
